# 100
   0       0.000000
   1   33686.230892
   2    8405.815439
   3    3936.041055
   4    2107.702339
   5    1361.211536
   6     994.456321
   7     713.793700
   8     552.854688
   9     461.010987
  10     384.783324
  11     319.481580
  12     266.144265
  13     239.023673
  14     198.631451
  15     188.932079
  16     156.111998
  17     154.061111
  18     133.889981
  19     132.952552
  20     112.909493
  21     110.441260
  22      97.696276
  23     100.664119
  24      82.815626
  25      85.758489
  26      77.238796
  27      81.751745
  28      66.688780
  29      72.091655
  30      61.732182
  31      67.053268
  32      56.003900
  33      63.954375
  34      52.804748
  35      58.411545
  36      49.587473
  37      55.911059
  38      47.899250
  39      53.478426
  40      43.692384
  41      49.052445
  42      41.955206
  43      49.295682
  44      39.952184
  45      46.234290
  46      37.302088
  47      45.184870
  48      36.664415
  49      44.264129
  50      35.400275
  51      41.804825
  52      32.252033
  53      38.781814
  54      33.031389
  55      37.412871
  56      30.157745
  57      37.181035
  58      30.489519
  59      36.922987
  60      29.371436
  61      34.272660
  62      27.178369
  63      32.180060
  64      27.071220
  65      31.760934
  66      26.297978
  67      31.105279
  68      24.927301
  69      29.236135
  70      24.932107
  71      29.048062
  72      24.291405
  73      27.448436
  74      23.676920
  75      26.513884
  76      23.478420
  77      26.272825
  78      21.935998
  79      25.368704
  80      21.512277
  81      24.069321
  82      21.896577
  83      22.782716
  84      20.646456
  85      22.303081
  86      20.599404
  87      21.602437
  88      20.780171
  89      21.516667
  90      21.455096
  91      20.328050
  92      20.462973
  93      21.073447
  94      21.272144
  95      20.429770
  96      20.186188
  97      20.061924
  98      19.406450
  99      20.943778
